1,-1,757.0,692.0,96.0,209.0,1.000000
1,-1,667.0,682.0,100.0,222.0,1.000000
1,-1,343.0,818.0,127.0,258.0,1.000000
1,-1,806.0,524.0,71.0,172.0,1.000000
1,-1,196.0,814.0,141.0,265.0,1.000000
1,-1,1164.0,605.0,69.0,197.0,1.000000
1,-1,953.0,605.0,79.0,199.0,1.000000
1,-1,1433.0,511.0,60.0,98.0,1.000000
1,-1,1650.0,833.0,100.0,243.0,1.000000
1,-1,1025.0,608.0,85.0,196.0,1.000000
1,-1,1469.0,641.0,81.0,204.0,1.000000
1,-1,1585.0,675.0,110.0,236.0,1.000000
1,-1,1048.0,436.0,50.0,124.0,0.000000
1,-1,1091.0,547.0,77.0,178.0,0.000000
1,-1,1504.0,514.0,52.0,101.0,0.000000
1,-1,862.0,533.0,63.0,158.0,0.000000
1,-1,1670.0,668.0,83.0,214.0,0.000000
1,-1,1229.0,441.0,67.0,110.0,0.000000
1,-1,874.0,467.0,56.0,137.0,0.000000
1,-1,1426.0,596.0,78.0,181.0,0.000000
1,-1,788.0,491.0,54.0,133.0,0.000000
1,-1,1233.0,592.0,60.0,187.0,0.000000
1,-1,1005.0,507.0,64.0,144.0,0.000000
1,-1,738.0,472.0,45.0,103.0,0.000000
1,-1,815.0,455.0,53.0,125.0,0.000000
1,-1,763.0,454.0,52.0,111.0,0.000000
1,-1,1068.0,509.0,54.0,145.0,0.000000
1,-1,919.0,540.0,54.0,156.0,0.000000
1,-1,1361.0,1022.0,100.0,57.0,0.000000
1,-1,950.0,520.0,58.0,142.0,0.000000
2,-1,667.0,684.0,99.0,223.0,1.000000
2,-1,807.0,524.0,71.0,171.0,1.000000
2,-1,757.0,692.0,96.0,208.0,1.000000
2,-1,345.0,815.0,130.0,261.0,1.000000
2,-1,198.0,813.0,142.0,266.0,1.000000
2,-1,953.0,607.0,77.0,198.0,1.000000
2,-1,1168.0,606.0,68.0,197.0,1.000000
2,-1,1027.0,609.0,84.0,196.0,1.000000
2,-1,1433.0,511.0,60.0,99.0,1.000000
2,-1,1580.0,676.0,112.0,233.0,1.000000
2,-1,1653.0,832.0,103.0,245.0,1.000000
2,-1,1469.0,639.0,78.0,204.0,0.000000
2,-1,1048.0,436.0,50.0,123.0,0.000000
2,-1,1503.0,514.0,53.0,102.0,0.000000
